group1	group2
Fetal_mammary_cells_EpCAM_neg	Fetal_mammary_cells_EpCAM_pos
Fetal_mammary_cells_CD24_low	Fetal_mammary_cells_CD24_pos
uninfected	Sox10_Infected_no_Dox
uninfected	Sox10_Infected_Dox_Venus_pos
uninfected	Sox10_Infected_Dox_Venus_neg
Sox10_Infected_no_Dox	Sox10_Infected_Dox_Venus_pos
Sox10_Infected_no_Dox	Sox10_Infected_Dox_Venus_neg
Sox10_Infected_Dox_Venus_neg	Sox10_Infected_Dox_Venus_pos
