GO:0002764	40
GO:0005576	2573
GO:0005615	1789
GO:0005886	5714
GO:0031093	67
GO:0034774	121
GO:0070062	2213
GO:0072562	142
GO:1904813	125
GO:0001869	2
GO:0002020	109
GO:0004866	48
GO:0004867	102
GO:0005102	420
GO:0005515	13741
GO:0019838	49
GO:0019899	405
GO:0019959	3
GO:0019966	7
GO:0030414	131
GO:0031012	460
GO:0043120	7
GO:0048306	82
GO:0048863	63
GO:0004060	3
GO:0005737	7516
GO:0005829	5562
GO:0006805	120
GO:0016407	20
GO:0016740	1894
GO:0016746	178
GO:0046990	1
GO:0003677	2301
GO:0005634	6847
GO:0006953	37
GO:0006954	467
GO:0019216	41
GO:0030277	16
GO:0034097	56
GO:0035578	91
GO:0003824	349
GO:0004806	22
GO:0005783	1702
GO:0005789	1188
GO:0006629	840
GO:0010898	8
GO:0016020	8530
GO:0016298	25
GO:0016787	1822
GO:0017171	7
GO:0019213	13
GO:0052689	53
GO:0001525	284
GO:0008201	170
GO:0009986	684
GO:0010595	66
GO:0014909	9
GO:0015630	269
GO:0030154	1057
GO:0045171	98
GO:0004059	1
GO:0006474	8
GO:0007623	82
GO:0008080	15
GO:0009416	28
GO:0009648	3
GO:0010043	27
GO:0016747	44
GO:0030187	2
GO:0032868	83
GO:0034695	11
GO:0046219	2
GO:0046688	12
GO:0048471	718
GO:0048511	148
GO:0051412	14
GO:0051591	34
GO:0051592	55
GO:0071320	58
GO:0071889	32
GO:1901652	11
GO:0000049	82
GO:0000166	1832
GO:0002161	13
GO:0002196	2
GO:0003676	617
GO:0003723	1562
GO:0004812	40
GO:0004813	3
GO:0005524	1480
GO:0006400	33
GO:0006412	311
GO:0006418	36
GO:0006419	3
GO:0008033	107
GO:0008270	2153
GO:0016597	14
GO:0016874	137
GO:0021680	12
GO:0030330	48
GO:0035329	28
GO:0035332	21
GO:0043039	13
GO:0043524	160
GO:0046872	4028
GO:0050885	53
GO:0050905	42
GO:0051402	98
GO:0106074	13
GO:0140018	1
GO:0141207	2
GO:1901797	17
GO:0001666	176
GO:0005739	1784
GO:0005759	440
GO:0007620	2
GO:0007626	99
GO:0008483	23
GO:0009410	248
GO:0009448	3
GO:0009449	6
GO:0009450	2
GO:0010039	18
