GO:0002020	158
GO:0004866	49
GO:0004867	131
GO:0005576	2165
GO:0005615	1717
GO:0007566	67
GO:0030414	158
GO:0031012	429
GO:0044877	674
GO:0048403	5
GO:0048406	9
GO:0004059	1
GO:0004060	4
GO:0005737	7505
GO:0005829	4308
GO:0006474	4
GO:0007623	102
GO:0008080	25
GO:0009416	35
GO:0009648	2
GO:0010043	26
GO:0016740	1897
GO:0016746	181
GO:0016747	49
GO:0030187	2
GO:0032868	94
GO:0034097	85
GO:0034695	13
GO:0046688	16
GO:0048471	852
GO:0048511	154
GO:0051412	23
GO:0051591	46
GO:0051592	64
GO:0071320	58
GO:0071889	52
GO:1901652	20
GO:0000166	1860
GO:0004672	537
GO:0004674	433
GO:0004713	127
GO:0005515	5653
GO:0005524	1514
GO:0005783	1741
GO:0006915	620
GO:0007420	238
GO:0012505	273
GO:0016020	8780
GO:0016301	659
GO:0030424	552
GO:0030425	662
GO:0030426	195
GO:0042995	1369
GO:0051402	81
GO:0106310	364
GO:0002790	3
GO:0005102	445
GO:0005548	10
GO:0005768	778
GO:0005794	1439
GO:0005886	6331
GO:0006911	38
GO:0007040	68
GO:0007186	2073
GO:0007189	144
GO:0007584	68
GO:0008035	11
GO:0008203	119
GO:0008320	19
GO:0009306	57
GO:0009410	296
GO:0009897	529
GO:0009986	834
GO:0010875	29
GO:0015914	46
GO:0016197	69
GO:0016323	310
GO:0016887	394
GO:0019905	62
GO:0023061	3
GO:0030139	79
GO:0030301	25
GO:0031210	29
GO:0031267	296
GO:0031667	104
GO:0032367	14
GO:0032489	12
GO:0033344	34
GO:0033552	3
GO:0033700	14
GO:0034185	17
GO:0034186	5
GO:0034188	2
GO:0034204	6
GO:0034380	6
GO:0034616	5
GO:0038027	5
GO:0042157	33
GO:0042158	6
GO:0042626	38
GO:0042632	104
GO:0043231	185
GO:0043691	16
GO:0045121	237
GO:0045332	31
GO:0045335	92
GO:0046623	1
GO:0051117	102
GO:0051649	252
GO:0055085	561
GO:0055091	17
GO:0060155	21
GO:0071222	264
GO:0071300	64
GO:0071345	49
GO:0071397	20
GO:0071403	5
GO:0071466	77
GO:0071806	19
GO:0090108	2
GO:0090554	9
GO:0090556	8
GO:0097708	21
GO:0099039	2
GO:0120020	24
GO:0140115	11
GO:0140326	22
GO:0140328	5
GO:0140359	49
GO:0001523	33
GO:0001750	81
GO:0003924	317
GO:0005501	8
GO:0005502	6
GO:0005503	4
GO:0006649	3
GO:0006869	187
GO:0007601	154
GO:0016787	1844
GO:0031410	920
GO:0042574	16
GO:0045494	47
GO:0046872	3971
GO:0090555	7
GO:0120202	1
GO:0140327	1
GO:0140347	1
GO:0001573	5
GO:0005319	25
GO:0005764	508
GO:0005765	327
GO:0005815	106
GO:0006684	5
GO:0006687	9
GO:0007626	126
GO:0010008	224
GO:0010559	4
GO:0019218	6
GO:0032289	8
GO:0032383	4
GO:0032384	1
GO:0032805	3
GO:0042986	4
GO:0045939	1
GO:0046512	16
GO:0048545	38
GO:0051247	25
GO:0061135	1
GO:0071072	1
GO:0090155	2
GO:0090156	6
GO:0090370	8
GO:0099038	3
GO:0099040	3
GO:1901873	1
GO:1902004	20
GO:1902993	11
GO:1904375	1
GO:1905601	2
GO:2000008	11
GO:0005739	1901
GO:0005743	538
GO:0006879	73
GO:0016226	24
GO:0034755	10
GO:0042802	2077
GO:0042803	825
GO:0070455	3
GO:0140466	1
GO:0140481	1
GO:1903331	1
GO:1903427	19
GO:0000139	588
GO:0005654	3535
GO:0005789	1144
GO:0010745	10
GO:0010888	17
GO:0019534	10
GO:0033993	27
GO:0034041	2
GO:0034374	14
GO:0034375	18
GO:0034436	3
GO:0035774	54
GO:0042908	38
GO:0042987	15
GO:0043531	46
GO:0045542	25
GO:0046982	372
GO:0050714	62
GO:0055037	153
GO:0090181	16
GO:1904411	2
GO:0001756	60
GO:0001764	152
GO:0005634	6485
GO:0005856	1490
GO:0014069	358
GO:0017124	129
GO:0030027	210
GO:0030175	90
GO:0030296	15
GO:0031209	12
GO:0031252	79
GO:0032433	20
