geneSymbol	CellType	Source
PNPLA2	Adipocytes: Connective tissue	PanglaoDB
CIDEC	Adipocytes: Connective tissue	PanglaoDB
CDO1	Adipocytes: Connective tissue	PanglaoDB
APOC1	Adipocytes: Connective tissue	PanglaoDB
MMP2	Adipocytes: Connective tissue	PanglaoDB
POSTN	Adipocytes: Connective tissue	PanglaoDB
LOX	Adipocytes: Connective tissue	PanglaoDB
COL6A2	Adipocytes: Connective tissue	PanglaoDB
ZBTB16	Adipocytes: Connective tissue	PanglaoDB
GULP1	Adipocytes: Connective tissue	PanglaoDB
FZD4	Adipocytes: Connective tissue	PanglaoDB
TRIP10	Adipocytes: Connective tissue	PanglaoDB
FGF7	Adipocytes: Connective tissue	PanglaoDB
MAOB	Adipocytes: Connective tissue	PanglaoDB
SOCS1	Adipocytes: Connective tissue	PanglaoDB
ARNT	Adipocytes: Connective tissue	PanglaoDB
SULT1A1	Adipocytes: Connective tissue	PanglaoDB
NNMT	Adipocytes: Connective tissue	PanglaoDB
AOC3	Adipocytes: Connective tissue	PanglaoDB
H6PD	Adipocytes: Connective tissue	PanglaoDB
CYP27A1	Adipocytes: Connective tissue	PanglaoDB
EBF2	Adipocytes: Connective tissue	PanglaoDB
MNDA	Adipocytes: Connective tissue	PanglaoDB
HSD11B1	Adipocytes: Connective tissue	PanglaoDB
AR	Adipocytes: Connective tissue	PanglaoDB
GDF10	Adipocytes: Connective tissue	PanglaoDB
CYP1B1	Adipocytes: Connective tissue	PanglaoDB
COL5A3	Adipocytes: Connective tissue	PanglaoDB
STEAP4	Adipocytes: Connective tissue	PanglaoDB
CCL11	Adipocytes: Connective tissue	PanglaoDB
NR1H3	Adipocytes: Connective tissue	PanglaoDB
DEPTOR	Adipocytes: Connective tissue	PanglaoDB
CYTH3	Adipocytes: Connective tissue	PanglaoDB
FMO1	Adipocytes: Connective tissue	PanglaoDB
ACADSB	Adipocytes: Connective tissue	PanglaoDB
XDH	Adipocytes: Connective tissue	PanglaoDB
RSPO3	Adipocytes: Connective tissue	PanglaoDB
PTGES	Adipocytes: Connective tissue	PanglaoDB
CREB3L1	Adipocytes: Connective tissue	PanglaoDB
ANGPTL2	Adipocytes: Connective tissue	PanglaoDB
ADAM12	Adipocytes: Connective tissue	PanglaoDB
ADH1	Adipocytes: Connective tissue	PanglaoDB
LBP	Adipocytes: Connective tissue	PanglaoDB
NMB	Adipocytes: Connective tissue	PanglaoDB
RARRES2	Adipocytes: Connective tissue	PanglaoDB
FST	Adipocytes: Connective tissue	PanglaoDB
EGFR	Adipocytes: Connective tissue	PanglaoDB
CPXM1	Adipocytes: Connective tissue	PanglaoDB
C3	Adipocytes: Connective tissue	PanglaoDB
ADAMTS5	Adipocytes: Connective tissue	PanglaoDB
TIMP1	Adipocytes: Connective tissue	PanglaoDB
METRN	Adipocytes: Connective tissue	PanglaoDB
METRNL	Adipocytes: Connective tissue	PanglaoDB
MYO1C	Adipocytes: Connective tissue	PanglaoDB
