geneSymbol	CellType	Source
NA	Leydig cell: Fetal gonad	CellMarker
ZCCHC7	Leydig cell: Fetal gonad	CellMarker
ZCCHC9	Leydig cell: Fetal gonad	CellMarker
ZKSCAN4	Leydig cell: Fetal gonad	CellMarker
ZNF275	Leydig cell: Fetal gonad	CellMarker
ZNF385D	Leydig cell: Fetal gonad	CellMarker
ZNF397	Leydig cell: Fetal gonad	CellMarker
ZNF398	Leydig cell: Fetal gonad	CellMarker
ZNF582	Leydig cell: Fetal gonad	CellMarker
ZNF587	Leydig cell: Fetal gonad	CellMarker
ZNF83	Leydig cell: Fetal gonad	CellMarker
ZRANB3	Leydig cell: Fetal gonad	CellMarker
NA	Leydig cell: Fetal gonad	CellMarker
STAR	Leydig cell: Testis	CellMarker
HSD3B	Leydig cell: Testis	CellMarker
HSD3B	Leydig cell: Testis	CellMarker
ABCA10	Leydig precursor cell: Fetal gonad	CellMarker
ABLIM1	Leydig precursor cell: Fetal gonad	CellMarker
ADAMTS1	Leydig precursor cell: Fetal gonad	CellMarker
ADD3	Leydig precursor cell: Fetal gonad	CellMarker
AK1	Leydig precursor cell: Fetal gonad	CellMarker
ALDH1A3	Leydig precursor cell: Fetal gonad	CellMarker
ANGPT2	Leydig precursor cell: Fetal gonad	CellMarker
ANGPTL1	Leydig precursor cell: Fetal gonad	CellMarker
ARHGAP28	Leydig precursor cell: Fetal gonad	CellMarker
ARX	Leydig precursor cell: Fetal gonad	CellMarker
BCHE	Leydig precursor cell: Fetal gonad	CellMarker
BGN	Leydig precursor cell: Fetal gonad	CellMarker
BICC1	Leydig precursor cell: Fetal gonad	CellMarker
C1QTNF7	Leydig precursor cell: Fetal gonad	CellMarker
C1R	Leydig precursor cell: Fetal gonad	CellMarker
C1S	Leydig precursor cell: Fetal gonad	CellMarker
C6orf48	Leydig precursor cell: Fetal gonad	CellMarker
C7	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
CALD1	Leydig precursor cell: Fetal gonad	CellMarker
CALU	Leydig precursor cell: Fetal gonad	CellMarker
CCDC102B	Leydig precursor cell: Fetal gonad	CellMarker
CCND3	Leydig precursor cell: Fetal gonad	CellMarker
CDC42EP1	Leydig precursor cell: Fetal gonad	CellMarker
CDH11	Leydig precursor cell: Fetal gonad	CellMarker
CERCAM	Leydig precursor cell: Fetal gonad	CellMarker
CFH	Leydig precursor cell: Fetal gonad	CellMarker
CHSY1	Leydig precursor cell: Fetal gonad	CellMarker
CLEC11A	Leydig precursor cell: Fetal gonad	CellMarker
CNN3	Leydig precursor cell: Fetal gonad	CellMarker
COL14A1	Leydig precursor cell: Fetal gonad	CellMarker
COL15A1	Leydig precursor cell: Fetal gonad	CellMarker
COL1A1	Leydig precursor cell: Fetal gonad	CellMarker
COL3A1	Leydig precursor cell: Fetal gonad	CellMarker
COL4A5	Leydig precursor cell: Fetal gonad	CellMarker
COL5A1	Leydig precursor cell: Fetal gonad	CellMarker
COL5A2	Leydig precursor cell: Fetal gonad	CellMarker
COL6A1	Leydig precursor cell: Fetal gonad	CellMarker
COL6A2	Leydig precursor cell: Fetal gonad	CellMarker
COLEC11	Leydig precursor cell: Fetal gonad	CellMarker
CPXM1	Leydig precursor cell: Fetal gonad	CellMarker
CRABP2	Leydig precursor cell: Fetal gonad	CellMarker
CRISPLD2	Leydig precursor cell: Fetal gonad	CellMarker
CRTAP	Leydig precursor cell: Fetal gonad	CellMarker
CTSC	Leydig precursor cell: Fetal gonad	CellMarker
CXCL12	Leydig precursor cell: Fetal gonad	CellMarker
CYBRD1	Leydig precursor cell: Fetal gonad	CellMarker
CYP1B1	Leydig precursor cell: Fetal gonad	CellMarker
DCN	Leydig precursor cell: Fetal gonad	CellMarker
DLC1	Leydig precursor cell: Fetal gonad	CellMarker
DLK1	Leydig precursor cell: Fetal gonad	CellMarker
EBF1	Leydig precursor cell: Fetal gonad	CellMarker
EDNRA	Leydig precursor cell: Fetal gonad	CellMarker
EDNRB	Leydig precursor cell: Fetal gonad	CellMarker
EEF1A1	Leydig precursor cell: Fetal gonad	CellMarker
EEF1G	Leydig precursor cell: Fetal gonad	CellMarker
EFEMP2	Leydig precursor cell: Fetal gonad	CellMarker
EGFLAM	Leydig precursor cell: Fetal gonad	CellMarker
EHD2	Leydig precursor cell: Fetal gonad	CellMarker
ELN	Leydig precursor cell: Fetal gonad	CellMarker
EMP2	Leydig precursor cell: Fetal gonad	CellMarker
ENC1	Leydig precursor cell: Fetal gonad	CellMarker
ENG	Leydig precursor cell: Fetal gonad	CellMarker
F10	Leydig precursor cell: Fetal gonad	CellMarker
FAM114A1	Leydig precursor cell: Fetal gonad	CellMarker
FBLIM1	Leydig precursor cell: Fetal gonad	CellMarker
FBN1	Leydig precursor cell: Fetal gonad	CellMarker
FBN2	Leydig precursor cell: Fetal gonad	CellMarker
FBXO17	Leydig precursor cell: Fetal gonad	CellMarker
FCGRT	Leydig precursor cell: Fetal gonad	CellMarker
FKBP7	Leydig precursor cell: Fetal gonad	CellMarker
FLRT2	Leydig precursor cell: Fetal gonad	CellMarker
FSTL1	Leydig precursor cell: Fetal gonad	CellMarker
FSTL5	Leydig precursor cell: Fetal gonad	CellMarker
FXYD1	Leydig precursor cell: Fetal gonad	CellMarker
FXYD6	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
GCSH	Leydig precursor cell: Fetal gonad	CellMarker
GLT8D2	Leydig precursor cell: Fetal gonad	CellMarker
GOLIM4	Leydig precursor cell: Fetal gonad	CellMarker
GPC3	Leydig precursor cell: Fetal gonad	CellMarker
GSTM2	Leydig precursor cell: Fetal gonad	CellMarker
GSTM5	Leydig precursor cell: Fetal gonad	CellMarker
GULP1	Leydig precursor cell: Fetal gonad	CellMarker
HIF3A	Leydig precursor cell: Fetal gonad	CellMarker
HNRNPA1	Leydig precursor cell: Fetal gonad	CellMarker
HOXD8	Leydig precursor cell: Fetal gonad	CellMarker
HSPB6	Leydig precursor cell: Fetal gonad	CellMarker
HTRA3	Leydig precursor cell: Fetal gonad	CellMarker
IFI16	Leydig precursor cell: Fetal gonad	CellMarker
IGF1	Leydig precursor cell: Fetal gonad	CellMarker
IGFBP4	Leydig precursor cell: Fetal gonad	CellMarker
IGFBP5	Leydig precursor cell: Fetal gonad	CellMarker
INHBA	Leydig precursor cell: Fetal gonad	CellMarker
INSIG1	Leydig precursor cell: Fetal gonad	CellMarker
ISLR	Leydig precursor cell: Fetal gonad	CellMarker
ITGA11	Leydig precursor cell: Fetal gonad	CellMarker
ITM2C	Leydig precursor cell: Fetal gonad	CellMarker
KANK2	Leydig precursor cell: Fetal gonad	CellMarker
KDELR2	Leydig precursor cell: Fetal gonad	CellMarker
LAMA2	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
LHFPL2	Leydig precursor cell: Fetal gonad	CellMarker
LHX9	Leydig precursor cell: Fetal gonad	CellMarker
LIFR	Leydig precursor cell: Fetal gonad	CellMarker
LITAF	Leydig precursor cell: Fetal gonad	CellMarker
LOXL2	Leydig precursor cell: Fetal gonad	CellMarker
LRRC17	Leydig precursor cell: Fetal gonad	CellMarker
LRRN3	Leydig precursor cell: Fetal gonad	CellMarker
LSAMP	Leydig precursor cell: Fetal gonad	CellMarker
LTBP4	Leydig precursor cell: Fetal gonad	CellMarker
MATN2	Leydig precursor cell: Fetal gonad	CellMarker
MCTP2	Leydig precursor cell: Fetal gonad	CellMarker
MDK	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
MEST	Leydig precursor cell: Fetal gonad	CellMarker
MFAP2	Leydig precursor cell: Fetal gonad	CellMarker
MFAP4	Leydig precursor cell: Fetal gonad	CellMarker
MMP2	Leydig precursor cell: Fetal gonad	CellMarker
MRC2	Leydig precursor cell: Fetal gonad	CellMarker
MSC	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
MXRA8	Leydig precursor cell: Fetal gonad	CellMarker
MYADM	Leydig precursor cell: Fetal gonad	CellMarker
NDRG2	Leydig precursor cell: Fetal gonad	CellMarker
NEFL	Leydig precursor cell: Fetal gonad	CellMarker
NEGR1	Leydig precursor cell: Fetal gonad	CellMarker
NID1	Leydig precursor cell: Fetal gonad	CellMarker
NLGN1	Leydig precursor cell: Fetal gonad	CellMarker
NPM1	Leydig precursor cell: Fetal gonad	CellMarker
NR2F2	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
NRK	Leydig precursor cell: Fetal gonad	CellMarker
NRP1	Leydig precursor cell: Fetal gonad	CellMarker
OGN	Leydig precursor cell: Fetal gonad	CellMarker
OLFML1	Leydig precursor cell: Fetal gonad	CellMarker
OLFML3	Leydig precursor cell: Fetal gonad	CellMarker
OSR1	Leydig precursor cell: Fetal gonad	CellMarker
OSR2	Leydig precursor cell: Fetal gonad	CellMarker
PCDH18	Leydig precursor cell: Fetal gonad	CellMarker
PCDH9	Leydig precursor cell: Fetal gonad	CellMarker
PDE5A	Leydig precursor cell: Fetal gonad	CellMarker
PDGFRA	Leydig precursor cell: Fetal gonad	CellMarker
PDGFRB	Leydig precursor cell: Fetal gonad	CellMarker
PHLDA1	Leydig precursor cell: Fetal gonad	CellMarker
PKDCC	Leydig precursor cell: Fetal gonad	CellMarker
PLA2G5	Leydig precursor cell: Fetal gonad	CellMarker
PLAC1	Leydig precursor cell: Fetal gonad	CellMarker
PLAC9	Leydig precursor cell: Fetal gonad	CellMarker
PLAGL1	Leydig precursor cell: Fetal gonad	CellMarker
PLIN2	Leydig precursor cell: Fetal gonad	CellMarker
PLOD1	Leydig precursor cell: Fetal gonad	CellMarker
PMP22	Leydig precursor cell: Fetal gonad	CellMarker
POSTN	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
PPFIA2	Leydig precursor cell: Fetal gonad	CellMarker
PPP1R12A	Leydig precursor cell: Fetal gonad	CellMarker
PTCH1	Leydig precursor cell: Fetal gonad	CellMarker
PTCH2	Leydig precursor cell: Fetal gonad	CellMarker
PXDN	Leydig precursor cell: Fetal gonad	CellMarker
RAB34	Leydig precursor cell: Fetal gonad	CellMarker
RARRES2	Leydig precursor cell: Fetal gonad	CellMarker
RBFOX2	Leydig precursor cell: Fetal gonad	CellMarker
RBMS3	Leydig precursor cell: Fetal gonad	CellMarker
RCN1	Leydig precursor cell: Fetal gonad	CellMarker
RCN3	Leydig precursor cell: Fetal gonad	CellMarker
RIMS2	Leydig precursor cell: Fetal gonad	CellMarker
RND3	Leydig precursor cell: Fetal gonad	CellMarker
RNF24	Leydig precursor cell: Fetal gonad	CellMarker
RPL10	Leydig precursor cell: Fetal gonad	CellMarker
RPL10A	Leydig precursor cell: Fetal gonad	CellMarker
RPL12	Leydig precursor cell: Fetal gonad	CellMarker
RPL13	Leydig precursor cell: Fetal gonad	CellMarker
RPL13A	Leydig precursor cell: Fetal gonad	CellMarker
RPL15	Leydig precursor cell: Fetal gonad	CellMarker
RPL18A	Leydig precursor cell: Fetal gonad	CellMarker
RPL22	Leydig precursor cell: Fetal gonad	CellMarker
RPL23	Leydig precursor cell: Fetal gonad	CellMarker
RPL24	Leydig precursor cell: Fetal gonad	CellMarker
RPL31	Leydig precursor cell: Fetal gonad	CellMarker
RPL34	Leydig precursor cell: Fetal gonad	CellMarker
RPL5	Leydig precursor cell: Fetal gonad	CellMarker
RPL6	Leydig precursor cell: Fetal gonad	CellMarker
RPL7	Leydig precursor cell: Fetal gonad	CellMarker
RPL8	Leydig precursor cell: Fetal gonad	CellMarker
RPL9	Leydig precursor cell: Fetal gonad	CellMarker
RPLP0	Leydig precursor cell: Fetal gonad	CellMarker
RPS12	Leydig precursor cell: Fetal gonad	CellMarker
RPS18	Leydig precursor cell: Fetal gonad	CellMarker
RPS19	Leydig precursor cell: Fetal gonad	CellMarker
RPS23	Leydig precursor cell: Fetal gonad	CellMarker
RPS24	Leydig precursor cell: Fetal gonad	CellMarker
RPS27A	Leydig precursor cell: Fetal gonad	CellMarker
RPS3A	Leydig precursor cell: Fetal gonad	CellMarker
RPS5	Leydig precursor cell: Fetal gonad	CellMarker
RPS6	Leydig precursor cell: Fetal gonad	CellMarker
RPS7	Leydig precursor cell: Fetal gonad	CellMarker
SCG5	Leydig precursor cell: Fetal gonad	CellMarker
SCN2A	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
SEMA5A	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
NA	Leydig precursor cell: Fetal gonad	CellMarker
SERPINE2	Leydig precursor cell: Fetal gonad	CellMarker
SERPINH1	Leydig precursor cell: Fetal gonad	CellMarker
SMOC2	Leydig precursor cell: Fetal gonad	CellMarker
SNAI2	Leydig precursor cell: Fetal gonad	CellMarker
SPARCL1	Leydig precursor cell: Fetal gonad	CellMarker
SPATS2L	Leydig precursor cell: Fetal gonad	CellMarker
SRPX	Leydig precursor cell: Fetal gonad	CellMarker
SSBP2	Leydig precursor cell: Fetal gonad	CellMarker
STC1	Leydig precursor cell: Fetal gonad	CellMarker
SULF1	Leydig precursor cell: Fetal gonad	CellMarker
SYT1	Leydig precursor cell: Fetal gonad	CellMarker
TCF21	Leydig precursor cell: Fetal gonad	CellMarker
TFPI	Leydig precursor cell: Fetal gonad	CellMarker
THY1	Leydig precursor cell: Fetal gonad	CellMarker
TIMP3	Leydig precursor cell: Fetal gonad	CellMarker
TMEM98	Leydig precursor cell: Fetal gonad	CellMarker
TMSB4X	Leydig precursor cell: Fetal gonad	CellMarker
TPM1	Leydig precursor cell: Fetal gonad	CellMarker
TPM2	Leydig precursor cell: Fetal gonad	CellMarker
TSC22D3	Leydig precursor cell: Fetal gonad	CellMarker
TSHZ2	Leydig precursor cell: Fetal gonad	CellMarker
VIM	Leydig precursor cell: Fetal gonad	CellMarker
WNT5A	Leydig precursor cell: Fetal gonad	CellMarker
ZFP36L1	Leydig precursor cell: Fetal gonad	CellMarker
ZFP36L2	Leydig precursor cell: Fetal gonad	CellMarker
ACAD10	LGR5+ stem cell: Large intestine	CellMarker
ACVR1C	LGR5+ stem cell: Large intestine	CellMarker
ADH1C	LGR5+ stem cell: Large intestine	CellMarker
ARSE	LGR5+ stem cell: Large intestine	CellMarker
ATP10B	LGR5+ stem cell: Large intestine	CellMarker
C16orf89	LGR5+ stem cell: Large intestine	CellMarker
C6orf136	LGR5+ stem cell: Large intestine	CellMarker
CDCA7	LGR5+ stem cell: Large intestine	CellMarker
CFTR	LGR5+ stem cell: Large intestine	CellMarker
CHMP4C	LGR5+ stem cell: Large intestine	CellMarker
CHP2	LGR5+ stem cell: Large intestine	CellMarker
CLDN15	LGR5+ stem cell: Large intestine	CellMarker
CLDN2	LGR5+ stem cell: Large intestine	CellMarker
CPA6	LGR5+ stem cell: Large intestine	CellMarker
DAPK2	LGR5+ stem cell: Large intestine	CellMarker
DDC	LGR5+ stem cell: Large intestine	CellMarker
EFNA3	LGR5+ stem cell: Large intestine	CellMarker
EVPL	LGR5+ stem cell: Large intestine	CellMarker
F2RL1	LGR5+ stem cell: Large intestine	CellMarker
NA	LGR5+ stem cell: Large intestine	CellMarker
NA	LGR5+ stem cell: Large intestine	CellMarker
GDF15	LGR5+ stem cell: Large intestine	CellMarker
GJB1	LGR5+ stem cell: Large intestine	CellMarker
GJB2	LGR5+ stem cell: Large intestine	CellMarker
GOLT1A	LGR5+ stem cell: Large intestine	CellMarker
GPX2	LGR5+ stem cell: Large intestine	CellMarker
HNF1A	LGR5+ stem cell: Large intestine	CellMarker
HSD17B2	LGR5+ stem cell: Large intestine	CellMarker
ITPKC	LGR5+ stem cell: Large intestine	CellMarker
LEFTY1	LGR5+ stem cell: Large intestine	CellMarker
LGR5	LGR5+ stem cell: Large intestine	CellMarker
NA	LGR5+ stem cell: Large intestine	CellMarker
LIPG	LGR5+ stem cell: Large intestine	CellMarker
LY6G6D	LGR5+ stem cell: Large intestine	CellMarker
MGST1	LGR5+ stem cell: Large intestine	CellMarker
MYOM3	LGR5+ stem cell: Large intestine	CellMarker
NOX1	LGR5+ stem cell: Large intestine	CellMarker
OLFM4	LGR5+ stem cell: Large intestine	CellMarker
PCSK9	LGR5+ stem cell: Large intestine	CellMarker
PDZD3	LGR5+ stem cell: Large intestine	CellMarker
PKP2	LGR5+ stem cell: Large intestine	CellMarker
PLAGL2	LGR5+ stem cell: Large intestine	CellMarker
PLEKHH1	LGR5+ stem cell: Large intestine	CellMarker
PPP1R1B	LGR5+ stem cell: Large intestine	CellMarker
PTGDR	LGR5+ stem cell: Large intestine	CellMarker
RGMB	LGR5+ stem cell: Large intestine	CellMarker
RNF157	LGR5+ stem cell: Large intestine	CellMarker
RNF186	LGR5+ stem cell: Large intestine	CellMarker
SFN	LGR5+ stem cell: Large intestine	CellMarker
SLC27A2	LGR5+ stem cell: Large intestine	CellMarker
SLC38A4	LGR5+ stem cell: Large intestine	CellMarker
SLPI	LGR5+ stem cell: Large intestine	CellMarker
SOX9	LGR5+ stem cell: Large intestine	CellMarker
SULT1B1	LGR5+ stem cell: Large intestine	CellMarker
TAF4B	LGR5+ stem cell: Large intestine	CellMarker
TMEM171	LGR5+ stem cell: Large intestine	CellMarker
TSPAN8	LGR5+ stem cell: Large intestine	CellMarker
NA	LGR5+ stem cell: Large intestine	CellMarker
ZBED9	LGR5+ stem cell: Large intestine	CellMarker
ZNF296	LGR5+ stem cell: Large intestine	CellMarker
CLDN18	LGR5+ stem cell: Small intestine	CellMarker
EPYC	LGR5+ stem cell: Small intestine	CellMarker
FBLN2	LGR5+ stem cell: Small intestine	CellMarker
TANC1	LGR5+ stem cell: Small intestine	CellMarker
KIT	Limbal epithelial stem cell: Limbal epithelium	CellMarker
CDH5	Limbal epithelial stem cell: Limbal epithelium	CellMarker
MCAM	Limbal epithelial stem cell: Limbal epithelium	CellMarker
ALCAM	Limbal epithelial stem cell: Limbal epithelium	CellMarker
CXCR4	Limbal epithelial stem cell: Limbal epithelium	CellMarker
ENG	Limbal mesenchymal cell: Sclerocorneal tissue	CellMarker
CD34	Limbal mesenchymal cell: Sclerocorneal tissue	CellMarker
CDH2	Limbal mesenchymal cell: Sclerocorneal tissue	CellMarker
VIM	Limbal mesenchymal cell: Sclerocorneal tissue	CellMarker
KRT15	Limbal stem cell: Corneal epithelium	CellMarker
SOD2	Limbal stem cell: Corneal epithelium	CellMarker
ABCG2	Limbal stem cell: Limbal epithelium	CellMarker
KRT14	Limbal stem cell: Limbal epithelium	CellMarker
TP63	Limbal stem cell: Limbal epithelium	CellMarker
AADAC	Liver bud hepatic cell: Liver	CellMarker
ABHD14B	Liver bud hepatic cell: Liver	CellMarker
ABLIM3	Liver bud hepatic cell: Liver	CellMarker
NA	Liver bud hepatic cell: Liver	CellMarker
ACSL1	Liver bud hepatic cell: Liver	CellMarker
AHSP	Liver bud hepatic cell: Liver	CellMarker
AIMP2	Liver bud hepatic cell: Liver	CellMarker
AK2	Liver bud hepatic cell: Liver	CellMarker
AKR1C1	Liver bud hepatic cell: Liver	CellMarker
AKR1C2	Liver bud hepatic cell: Liver	CellMarker
ALAS2	Liver bud hepatic cell: Liver	CellMarker
ALB	Liver bud hepatic cell: Liver	CellMarker
ALG8	Liver bud hepatic cell: Liver	CellMarker
AMBP	Liver bud hepatic cell: Liver	CellMarker
APOH	Liver bud hepatic cell: Liver	CellMarker
APOL1	Liver bud hepatic cell: Liver	CellMarker
ASNSD1	Liver bud hepatic cell: Liver	CellMarker
NA	Liver bud hepatic cell: Liver	CellMarker
NA	Liver bud hepatic cell: Liver	CellMarker
AZGP1	Liver bud hepatic cell: Liver	CellMarker
BHMT2	Liver bud hepatic cell: Liver	CellMarker
BID	Liver bud hepatic cell: Liver	CellMarker
NA	Liver bud hepatic cell: Liver	CellMarker
C19orf33	Liver bud hepatic cell: Liver	CellMarker
C1R	Liver bud hepatic cell: Liver	CellMarker
C1S	Liver bud hepatic cell: Liver	CellMarker
NA	Liver bud hepatic cell: Liver	CellMarker
CARHSP1	Liver bud hepatic cell: Liver	CellMarker
CASP7	Liver bud hepatic cell: Liver	CellMarker
CCL20	Liver bud hepatic cell: Liver	CellMarker
CD47	Liver bud hepatic cell: Liver	CellMarker
CD58	Liver bud hepatic cell: Liver	CellMarker
CDC37L1	Liver bud hepatic cell: Liver	CellMarker
CFH	Liver bud hepatic cell: Liver	CellMarker
CFHR1	Liver bud hepatic cell: Liver	CellMarker
CHCHD2	Liver bud hepatic cell: Liver	CellMarker
CKLF	Liver bud hepatic cell: Liver	CellMarker
CLDN1	Liver bud hepatic cell: Liver	CellMarker
CPB2	Liver bud hepatic cell: Liver	CellMarker
CPM	Liver bud hepatic cell: Liver	CellMarker
CPNE8	Liver bud hepatic cell: Liver	CellMarker
CSRP1	Liver bud hepatic cell: Liver	CellMarker
CYP2J2	Liver bud hepatic cell: Liver	CellMarker
CYP3A7	Liver bud hepatic cell: Liver	CellMarker
CYP4V2	Liver bud hepatic cell: Liver	CellMarker
DDX21	Liver bud hepatic cell: Liver	CellMarker
DIAPH2	Liver bud hepatic cell: Liver	CellMarker
DNAJC12	Liver bud hepatic cell: Liver	CellMarker
DPM3	Liver bud hepatic cell: Liver	CellMarker
DUSP23	Liver bud hepatic cell: Liver	CellMarker
ECT2	Liver bud hepatic cell: Liver	CellMarker
EFHD2	Liver bud hepatic cell: Liver	CellMarker
EIF1AY	Liver bud hepatic cell: Liver	CellMarker
ELOVL5	Liver bud hepatic cell: Liver	CellMarker
EMP2	Liver bud hepatic cell: Liver	CellMarker
EMP3	Liver bud hepatic cell: Liver	CellMarker
ENPP1	Liver bud hepatic cell: Liver	CellMarker
ERICH5	Liver bud hepatic cell: Liver	CellMarker
ESF1	Liver bud hepatic cell: Liver	CellMarker
EVA1A	Liver bud hepatic cell: Liver	CellMarker
F5	Liver bud hepatic cell: Liver	CellMarker
FAM216A	Liver bud hepatic cell: Liver	CellMarker
FARSB	Liver bud hepatic cell: Liver	CellMarker
FILIP1L	Liver bud hepatic cell: Liver	CellMarker
FKBP4	Liver bud hepatic cell: Liver	CellMarker
FKBP5	Liver bud hepatic cell: Liver	CellMarker
FSTL3	Liver bud hepatic cell: Liver	CellMarker
FTH1	Liver bud hepatic cell: Liver	CellMarker
FXYD1	Liver bud hepatic cell: Liver	CellMarker
FXYD2	Liver bud hepatic cell: Liver	CellMarker
GAL	Liver bud hepatic cell: Liver	CellMarker
GBP1	Liver bud hepatic cell: Liver	CellMarker
GC	Liver bud hepatic cell: Liver	CellMarker
GLIPR1	Liver bud hepatic cell: Liver	CellMarker
GLRX2	Liver bud hepatic cell: Liver	CellMarker
GMNN	Liver bud hepatic cell: Liver	CellMarker
GNAI1	Liver bud hepatic cell: Liver	CellMarker
GPX7	Liver bud hepatic cell: Liver	CellMarker
GTF3A	Liver bud hepatic cell: Liver	CellMarker
H2AFJ	Liver bud hepatic cell: Liver	CellMarker
HIST1H2BK	Liver bud hepatic cell: Liver	CellMarker
HIST2H2AA4	Liver bud hepatic cell: Liver	CellMarker
HP	Liver bud hepatic cell: Liver	CellMarker
HPD	Liver bud hepatic cell: Liver	CellMarker
HPRT1	Liver bud hepatic cell: Liver	CellMarker
HS3ST3B1	Liver bud hepatic cell: Liver	CellMarker
HSPB1	Liver bud hepatic cell: Liver	CellMarker
HYPK	Liver bud hepatic cell: Liver	CellMarker
IDI1	Liver bud hepatic cell: Liver	CellMarker
IFI30	Liver bud hepatic cell: Liver	CellMarker
IFI6	Liver bud hepatic cell: Liver	CellMarker
IFITM3	Liver bud hepatic cell: Liver	CellMarker
IFNAR2	Liver bud hepatic cell: Liver	CellMarker
IGFBP4	Liver bud hepatic cell: Liver	CellMarker
IL1R1	Liver bud hepatic cell: Liver	CellMarker
INO80C	Liver bud hepatic cell: Liver	CellMarker
IP6K3	Liver bud hepatic cell: Liver	CellMarker
IRAK2	Liver bud hepatic cell: Liver	CellMarker
ITIH2	Liver bud hepatic cell: Liver	CellMarker
KHDRBS3	Liver bud hepatic cell: Liver	CellMarker
KLHL2	Liver bud hepatic cell: Liver	CellMarker
KYNU	Liver bud hepatic cell: Liver	CellMarker
LBP	Liver bud hepatic cell: Liver	CellMarker
LECT2	Liver bud hepatic cell: Liver	CellMarker
LMCD1	Liver bud hepatic cell: Liver	CellMarker
LRRC61	Liver bud hepatic cell: Liver	CellMarker
LTV1	Liver bud hepatic cell: Liver	CellMarker
LYRM4	Liver bud hepatic cell: Liver	CellMarker
MASP2	Liver bud hepatic cell: Liver	CellMarker
MBNL1	Liver bud hepatic cell: Liver	CellMarker
MCL1	Liver bud hepatic cell: Liver	CellMarker
MET	Liver bud hepatic cell: Liver	CellMarker
METTL5	Liver bud hepatic cell: Liver	CellMarker
MGLL	Liver bud hepatic cell: Liver	CellMarker
MRPL33	Liver bud hepatic cell: Liver	CellMarker
MRPS28	Liver bud hepatic cell: Liver	CellMarker
MT1A	Liver bud hepatic cell: Liver	CellMarker
MT1E	Liver bud hepatic cell: Liver	CellMarker
MT1F	Liver bud hepatic cell: Liver	CellMarker
MT1G	Liver bud hepatic cell: Liver	CellMarker
MT1H	Liver bud hepatic cell: Liver	CellMarker
MT1HL1	Liver bud hepatic cell: Liver	CellMarker
MT1M	Liver bud hepatic cell: Liver	CellMarker
MT1X	Liver bud hepatic cell: Liver	CellMarker
MT2A	Liver bud hepatic cell: Liver	CellMarker
MYC	Liver bud hepatic cell: Liver	CellMarker
NDUFAF2	Liver bud hepatic cell: Liver	CellMarker
NDUFAF4	Liver bud hepatic cell: Liver	CellMarker
NFIC	Liver bud hepatic cell: Liver	CellMarker
NIP7	Liver bud hepatic cell: Liver	CellMarker
NME1	Liver bud hepatic cell: Liver	CellMarker
NMI	Liver bud hepatic cell: Liver	CellMarker
NOP16	Liver bud hepatic cell: Liver	CellMarker
NR1H4	Liver bud hepatic cell: Liver	CellMarker
OPN3	Liver bud hepatic cell: Liver	CellMarker
ORM1	Liver bud hepatic cell: Liver	CellMarker
ORM2	Liver bud hepatic cell: Liver	CellMarker
OSMR	Liver bud hepatic cell: Liver	CellMarker
P2RY6	Liver bud hepatic cell: Liver	CellMarker
PALMD	Liver bud hepatic cell: Liver	CellMarker
PCF11	Liver bud hepatic cell: Liver	CellMarker
PCOLCE2	Liver bud hepatic cell: Liver	CellMarker
PDLIM7	Liver bud hepatic cell: Liver	CellMarker
PID1	Liver bud hepatic cell: Liver	CellMarker
PLEK2	Liver bud hepatic cell: Liver	CellMarker
PLP2	Liver bud hepatic cell: Liver	CellMarker
POLE3	Liver bud hepatic cell: Liver	CellMarker
POLE4	Liver bud hepatic cell: Liver	CellMarker
POLR3K	Liver bud hepatic cell: Liver	CellMarker
PON3	Liver bud hepatic cell: Liver	CellMarker
PPIA	Liver bud hepatic cell: Liver	CellMarker
PPIF	Liver bud hepatic cell: Liver	CellMarker
PRG4	Liver bud hepatic cell: Liver	CellMarker
PSME2	Liver bud hepatic cell: Liver	CellMarker
PTRH1	Liver bud hepatic cell: Liver	CellMarker
RAB27A	Liver bud hepatic cell: Liver	CellMarker
RAB31	Liver bud hepatic cell: Liver	CellMarker
RAB32	Liver bud hepatic cell: Liver	CellMarker
RARRES2	Liver bud hepatic cell: Liver	CellMarker
RBP1	Liver bud hepatic cell: Liver	CellMarker
RCL1	Liver bud hepatic cell: Liver	CellMarker
RHOB	Liver bud hepatic cell: Liver	CellMarker
RHOQ	Liver bud hepatic cell: Liver	CellMarker
RRAD	Liver bud hepatic cell: Liver	CellMarker
RRP15	Liver bud hepatic cell: Liver	CellMarker
