geneSymbol	CellType	Source
SDC1	Abnormal plasma cell: Peripheral blood	CellMarker
CD38	Abnormal plasma cell: Peripheral blood	CellMarker
NCAM1	Abnormal plasma cell: Peripheral blood	CellMarker
BMI1	Acinar cell: Pancreas	CellMarker
PRSS1	Acinar cell: Pancreas	CellMarker
AADAC	Acinar cell: Pancreatic islet	CellMarker
AKR1B10	Acinar cell: Pancreatic islet	CellMarker
AKR1C1	Acinar cell: Pancreatic islet	CellMarker
AKR1C2	Acinar cell: Pancreatic islet	CellMarker
AKR1C3	Acinar cell: Pancreatic islet	CellMarker
AKR7A3	Acinar cell: Pancreatic islet	CellMarker
ALB	Acinar cell: Pancreatic islet	CellMarker
ALDOB	Acinar cell: Pancreatic islet	CellMarker
AMY2A	Acinar cell: Pancreatic islet	CellMarker
AMY2B	Acinar cell: Pancreatic islet	CellMarker
NA	Acinar cell: Pancreatic islet	CellMarker
ANPEP	Acinar cell: Pancreatic islet	CellMarker
AQP8	Acinar cell: Pancreatic islet	CellMarker
AZGP1	Acinar cell: Pancreatic islet	CellMarker
BCAT1	Acinar cell: Pancreatic islet	CellMarker
C15orf48	Acinar cell: Pancreatic islet	CellMarker
C4B	Acinar cell: Pancreatic islet	CellMarker
CA12	Acinar cell: Pancreatic islet	CellMarker
CBS	Acinar cell: Pancreatic islet	CellMarker
CEL	Acinar cell: Pancreatic islet	CellMarker
CELA2A	Acinar cell: Pancreatic islet	CellMarker
CELA3A	Acinar cell: Pancreatic islet	CellMarker
CELA3B	Acinar cell: Pancreatic islet	CellMarker
CLPS	Acinar cell: Pancreatic islet	CellMarker
CPA1	Acinar cell: Pancreatic islet	CellMarker
CPA2	Acinar cell: Pancreatic islet	CellMarker
CPB1	Acinar cell: Pancreatic islet	CellMarker
CTRB1	Acinar cell: Pancreatic islet	CellMarker
CTRB2	Acinar cell: Pancreatic islet	CellMarker
CTRC	Acinar cell: Pancreatic islet	CellMarker
CTRL	Acinar cell: Pancreatic islet	CellMarker
CUZD1	Acinar cell: Pancreatic islet	CellMarker
CXCL17	Acinar cell: Pancreatic islet	CellMarker
DPEP1	Acinar cell: Pancreatic islet	CellMarker
DUOX2	Acinar cell: Pancreatic islet	CellMarker
DUOXA2	Acinar cell: Pancreatic islet	CellMarker
ECE2	Acinar cell: Pancreatic islet	CellMarker
EFHD2	Acinar cell: Pancreatic islet	CellMarker
ERP27	Acinar cell: Pancreatic islet	CellMarker
FAM129A	Acinar cell: Pancreatic islet	CellMarker
FGL1	Acinar cell: Pancreatic islet	CellMarker
GALNT7	Acinar cell: Pancreatic islet	CellMarker
GNL3	Acinar cell: Pancreatic islet	CellMarker
GP2	Acinar cell: Pancreatic islet	CellMarker
GPT2	Acinar cell: Pancreatic islet	CellMarker
GSTA1	Acinar cell: Pancreatic islet	CellMarker
GSTA2	Acinar cell: Pancreatic islet	CellMarker
HAMP	Acinar cell: Pancreatic islet	CellMarker
IL32	Acinar cell: Pancreatic islet	CellMarker
KCTD14	Acinar cell: Pancreatic islet	CellMarker
KLK1	Acinar cell: Pancreatic islet	CellMarker
LGALS2	Acinar cell: Pancreatic islet	CellMarker
LYZ	Acinar cell: Pancreatic islet	CellMarker
MAT1A	Acinar cell: Pancreatic islet	CellMarker
MGST1	Acinar cell: Pancreatic islet	CellMarker
MUC1	Acinar cell: Pancreatic islet	CellMarker
NFKBIA	Acinar cell: Pancreatic islet	CellMarker
NUPR1	Acinar cell: Pancreatic islet	CellMarker
PDIA2	Acinar cell: Pancreatic islet	CellMarker
PLA2G1B	Acinar cell: Pancreatic islet	CellMarker
PLTP	Acinar cell: Pancreatic islet	CellMarker
PNLIP	Acinar cell: Pancreatic islet	CellMarker
PNLIPRP1	Acinar cell: Pancreatic islet	CellMarker
PNLIPRP2	Acinar cell: Pancreatic islet	CellMarker
PPIF	Acinar cell: Pancreatic islet	CellMarker
PRSS1	Acinar cell: Pancreatic islet	CellMarker
PRSS2	Acinar cell: Pancreatic islet	CellMarker
PRSS3	Acinar cell: Pancreatic islet	CellMarker
NA	Acinar cell: Pancreatic islet	CellMarker
PSAT1	Acinar cell: Pancreatic islet	CellMarker
PTGR1	Acinar cell: Pancreatic islet	CellMarker
RARRES2	Acinar cell: Pancreatic islet	CellMarker
REG1A	Acinar cell: Pancreatic islet	CellMarker
REG1B	Acinar cell: Pancreatic islet	CellMarker
REG3A	Acinar cell: Pancreatic islet	CellMarker
REG3G	Acinar cell: Pancreatic islet	CellMarker
RNASE1	Acinar cell: Pancreatic islet	CellMarker
NA	Acinar cell: Pancreatic islet	CellMarker
NA	Acinar cell: Pancreatic islet	CellMarker
SDC4	Acinar cell: Pancreatic islet	CellMarker
SERPINA4	Acinar cell: Pancreatic islet	CellMarker
SERPINI2	Acinar cell: Pancreatic islet	CellMarker
SGK1	Acinar cell: Pancreatic islet	CellMarker
SLC25A37	Acinar cell: Pancreatic islet	CellMarker
SLC38A5	Acinar cell: Pancreatic islet	CellMarker
SLC39A5	Acinar cell: Pancreatic islet	CellMarker
SLC43A1	Acinar cell: Pancreatic islet	CellMarker
SOD2	Acinar cell: Pancreatic islet	CellMarker
SPINK1	Acinar cell: Pancreatic islet	CellMarker
SYCN	Acinar cell: Pancreatic islet	CellMarker
TIFA	Acinar cell: Pancreatic islet	CellMarker
TMEM97	Acinar cell: Pancreatic islet	CellMarker
TMPRSS2	Acinar cell: Pancreatic islet	CellMarker
TPD52L1	Acinar cell: Pancreatic islet	CellMarker
TPST2	Acinar cell: Pancreatic islet	CellMarker
TRIB2	Acinar cell: Pancreatic islet	CellMarker
NA	Acinar cell: Pancreatic islet	CellMarker
UGDH	Acinar cell: Pancreatic islet	CellMarker
YBX3	Acinar cell: Pancreatic islet	CellMarker
ZDHHC9	Acinar cell: Pancreatic islet	CellMarker
BMP6	Acinar cell: Salivary gland	CellMarker
TAGLN2	Activated B cell: Peripheral blood	CellMarker
CD5	Activated B cell: Peripheral blood	CellMarker
CD19	Activated B cell: Undefined	CellMarker
CD86	Activated B cell: Undefined	CellMarker
MHC class II	Activated B cell: Undefined	CellMarker
IL2RA	Activated CD4+ T cell: Blood	CellMarker
ITGB1	Activated CD4+ T cell: Blood	CellMarker
CD4	Activated CD4+ T cell: Blood	CellMarker
TFRC	Activated CD4+ T cell: Blood	CellMarker
CCR6	Activated CD4+ T cell: Blood	CellMarker
CD14	Activated CD4+ T cell: Blood	CellMarker
CD19	Activated CD4+ T cell: Blood	CellMarker
CD38	Activated CD4+ T cell: Blood	CellMarker
CD4	Activated CD4+ T cell: Blood	CellMarker
PTPRC	Activated CD4+ T cell: Blood	CellMarker
PTPRC	Activated CD4+ T cell: Blood	CellMarker
CD69	Activated CD4+ T cell: Blood	CellMarker
CXCR3	Activated CD4+ T cell: Blood	CellMarker
TNFRSF4	Activated T cell: Undefined	CellMarker
TNFRSF9	Activated T cell: Undefined	CellMarker
CD40LG	Activated T cell: Undefined	CellMarker
IL2RA	Activated T cell: Undefined	CellMarker
CD27	Activated T cell: Undefined	CellMarker
CD28	Activated T cell: Undefined	CellMarker
CD3D	Activated T cell: Undefined	CellMarker
CD3E	Activated T cell: Undefined	CellMarker
CD3G	Activated T cell: Undefined	CellMarker
CD4	Activated T cell: Undefined	CellMarker
CD69	Activated T cell: Undefined	CellMarker
CD8A	Activated T cell: Undefined	CellMarker
FAS	Activated T cell: Undefined	CellMarker
MKI67	Activated T cell: Undefined	CellMarker
KLRG1	Activated T cell: Undefined	CellMarker
ENG	Adipose multilineage-differentiating stress-enduring cell: Adipose tissue	CellMarker
THY1	Adipose multilineage-differentiating stress-enduring cell: Adipose tissue	CellMarker
NA	Adipose multilineage-differentiating stress-enduring cell: Adipose tissue	CellMarker
DLK1	Adipose progenitor cell: Abdominal adipose tissue	CellMarker
ITGB1	Adipose progenitor cell: Adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
ITGB1	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
PECAM1	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
CD34	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
CD44	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
ITGA4	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
NT5E	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
THY1	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
ENG	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
CD14	Adipose-derived stem cell: Abdominal adipose tissue	CellMarker
