gene	GSM1228184	GSM1228185	GSM1228186	GSM1228187	GSM1228188	GSM1228189	GSM1228190	GSM1228191	GSM1228192	GSM1228193	GSM1228194	GSM1228195	GSM1228196	GSM1228197	GSM1228198	GSM1228199	GSM1228200	GSM1228201	GSM1228202	GSM1228203	GSM1228204	GSM1228205	GSM1228206	GSM1228207	GSM1228208	GSM1228209	GSM1228210	GSM1228211	GSM1228212	GSM1228213	GSM1228214	GSM1228215	GSM1228216	GSM1228217	GSM1228218	GSM1228219
CHP2	1773	2192	7998	632	1186	5561	17	1437	223	4096	2646	1408	11521	58	2073	56	2069	41	12108	5270	12122	8610	9399	10755	8577	7935	11080	8484	1465	6855	5556	10570	9322	7895	14012	2915
FAM135B	5	7	71	9	3	11	13	21	2	3	20	0	75	0	2	1	21	1	141	37	120	127	79	65	121	73	102	26	24	33	82	119	67	69	82	36
CCN4	288	358	42	602	134	32	728	370	423	206	62	420	30	454	105	513	303	91	10	12	65	25	30	30	20	20	28	9	115	62	11	28	27	22	22	30
TRANK1	1335	1768	2727	1019	1072	1289	2023	2053	980	1633	1546	690	2910	554	250	397	1804	491	3857	1505	4110	3163	3268	3910	4056	2076	3413	1939	889	2678	1866	2788	2345	2908	3487	1063
SLC22A5	747	470	1158	844	899	747	150	503	429	1070	710	435	1902	406	553	278	608	358	1530	984	1929	1957	1639	1809	1682	1585	2330	1425	363	1378	1043	1681	1158	1467	1725	654
ACSF2	2558	1039	1798	200	1266	1049	377	1002	474	1600	1023	1003	2677	273	635	266	1044	555	2088	1149	2713	2049	2681	2545	2403	2754	2962	2606	512	2574	1813	2730	1787	1740	2769	1365
TEF	386	604	707	402	748	627	744	918	589	1146	517	362	2124	255	356	209	728	287	1278	589	1185	1704	1079	1021	1253	1322	1059	1448	679	1088	1593	856	780	714	1528	754
SLC17A4	127	126	1226	62	165	234	4	367	21	751	664	103	1216	40	567	50	388	30	3311	917	1802	1501	2177	1667	1757	1638	2423	1096	364	1258	900	1400	1328	1025	2037	450
CA10	5	0	7	4	1	3	9	5	2	2	8	0	10	0	4	0	4	7	15	1	18	20	10	23	11	13	21	12	28	10	9	11	14	9	11	8
CLCA4	540	167	16384	426	2849	554	33	982	28	7087	4545	35	4274	51	25	58	4343	75	12630	17039	24960	6707	64434	23074	16532	8630	20033	9363	3025	20083	5513	27406	24438	33465	14405	12853
CNNM4	3464	4619	3076	1742	2870	3994	349	3804	1195	3158	3392	1513	6984	3070	1755	567	2969	3702	6856	3177	4612	5917	4622	6977	7931	4880	5598	4710	1423	5615	4552	6396	4948	4971	6917	4090
CA4	267	689	5850	255	691	751	125	2199	80	4235	4361	212	7402	94	83	103	2180	160	6276	3779	9662	10094	7935	8257	9794	6768	9501	5352	1840	7561	4644	6359	7234	6544	9451	4459
FRRS1	162	181	333	96	257	317	106	198	75	237	161	104	502	176	108	169	263	139	560	280	494	393	363	441	507	254	343	294	77	363	224	322	470	332	439	388
SNAI1	98	103	27	133	77	27	233	135	241	106	40	130	29	183	75	308	125	94	26	10	38	11	19	18	8	15	18	19	60	67	21	13	16	32	24	28
MTHFD1L	1456	1409	281	2739	946	217	399	905	1027	526	165	849	177	1138	518	687	680	1233	180	56	399	167	127	211	180	138	215	86	71	385	102	159	124	138	163	322
CDC14A	286	303	364	167	167	163	212	263	118	207	205	57	613	237	126	124	302	172	835	294	541	506	564	545	648	443	709	578	153	360	294	419	550	451	799	208
MMP1	707	518	199	6951	399	35	278	822	829	1028	42	245	27	12582	3255	2279	1724	1317	19	6	310	18	10	83	31	29	61	20	9	147	12	41	13	28	16	107
