gene_name	similarity_gene_name	ENTREZ_ID	pathway	condition	additional_condition	organ	model	category	comparison_control	comparison_condition	cell_type	day	factor	source	statistic	P_value	Q_value	S_obs	mu	sd	z_score	Effect_Size	Weight	Verdict	Runtime	R	A_size	B_size	U_size	Intersection	A_GO_size	B_GO_size	S_obs_GO	mu_GO	p_right_GO	q_value_GO	effect_size_GO	verdict_GO	A_KEGG_size	B_KEGG_size	S_obs_KEGG	mu_KEGG	p_right_KEGG	q_value_KEGG	effect_size_KEGG	verdict_KEGG
ASCL2			GO:0035019,GO:0003700,GO:0000981,GO:0001666,GO:0010626,GO:0090575,GO:0000122,GO:0005634,GO:0046983,GO:0005737,GO:0050767,GO:0008134,GO:0001227,GO:0070888,GO:0006357,GO:0045944,GO:0030182,GO:0060712,GO:0001890,GO:0000977,GO:0007423,GO:0000978,GO:1990837	Colorectal Cancer	N/A	N/A	N/A						N/A		hypergeometric	7.455564e-02	NA	7.00000	3.8298115362649914	0.0	NA	3.1702	1.00	not_sig	0.44	0	23	6706	40273	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCL2			GO:0035019,GO:0003700,GO:0000981,GO:0001666,GO:0010626,GO:0090575,GO:0000122,GO:0005634,GO:0046983,GO:0005737,GO:0050767,GO:0008134,GO:0001227,GO:0070888,GO:0006357,GO:0045944,GO:0030182,GO:0060712,GO:0001890,GO:0000977,GO:0007423,GO:0000978,GO:1990837	Colorectal Cancer	N/A	N/A	N/A						N/A		jaccard	6.965174e-02	NA	0.00104	0.0005680897173491376	0.00027498817034527645	1.7210	0.0005	1.00	not_sig	0.51	200	23	6706	40273	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCL2			GO:0035019,GO:0003700,GO:0000981,GO:0001666,GO:0010626,GO:0090575,GO:0000122,GO:0005634,GO:0046983,GO:0005737,GO:0050767,GO:0008134,GO:0001227,GO:0070888,GO:0006357,GO:0045944,GO:0030182,GO:0060712,GO:0001890,GO:0000977,GO:0007423,GO:0000978,GO:1990837	Colorectal Cancer	N/A	N/A	N/A						N/A		lin_bma	5.490196e-01	NA	0.20901	0.20777442048329245	0.048732600641135125	0.0254	0.0012	1.00	screening_not_sig	0.22	50	23	6706	40273	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCL2			GO:0035019,GO:0003700,GO:0000981,GO:0001666,GO:0010626,GO:0090575,GO:0000122,GO:0005634,GO:0046983,GO:0005737,GO:0050767,GO:0008134,GO:0001227,GO:0070888,GO:0006357,GO:0045944,GO:0030182,GO:0060712,GO:0001890,GO:0000977,GO:0007423,GO:0000978,GO:1990837	Colorectal Cancer	N/A	N/A	N/A						N/A		overlap	6.965174e-02	NA	7.00000	3.82	1.8478834830243411	1.7209	3.1800	1.00	not_sig	0.44	200	23	6706	40273	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASCL2			GO:0035019,GO:0003700,GO:0000981,GO:0001666,GO:0010626,GO:0090575,GO:0000122,GO:0005634,GO:0046983,GO:0005737,GO:0050767,GO:0008134,GO:0001227,GO:0070888,GO:0006357,GO:0045944,GO:0030182,GO:0060712,GO:0001890,GO:0000977,GO:0007423,GO:0000978,GO:1990837	Colorectal Cancer	N/A	N/A	N/A						N/A		resnik_bma	5.882353e-01	NA	0.70985	0.7147693292274976	0.13101450814499913	-0.0375	-0.0049	1.00	screening_not_sig	0.52	50	23	6706	40273	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
