KO	Pathway
K14275	mmu00040
K14756	mmu00040
K16190	mmu00040
K16849	mmu00040
K16850	mmu00040
K17738	mmu00040
K17743	mmu00040
K17818	mmu00040
K18102	mmu00040
K18103	mmu00040
K18106	mmu00040
K18107	mmu00040
K19551	mmu00040
K19588	mmu00040
K19634	mmu00040
K21030	mmu00040
K21031	mmu00040
K21619	mmu00040
K21680	mmu00040
K21681	mmu00040
K22185	mmu00040
K22186	mmu00040
K22187	mmu00040
K22396	mmu00040
K22397	mmu00040
K22539	mmu00040
K22933	mmu00040
K22935	mmu00040
K22994	mmu00040
K24442	mmu00040
K24443	mmu00040
K24707	mmu00040
K25879	mmu00040
K25880	mmu00040
K25881	mmu00040
K26066	mmu00040
K26933	mmu00040
K00007	mmu00051
K00008	mmu00051
K00009	mmu00051
K00011	mmu00051
K00045	mmu00051
K00064	mmu00051
K00066	mmu00051
K00068	mmu00051
K00594	mmu00051
K00844	mmu00051
K00846	mmu00051
K00847	mmu00051
K00848	mmu00051
K00850	mmu00051
K00863	mmu00051
K00879	mmu00051
K00881	mmu00051
K00882	mmu00051
K00895	mmu00051
K00900	mmu00051
K00966	mmu00051
K00971	mmu00051
K00976	mmu00051
K01086	mmu00051
K01103	mmu00051
K01218	mmu00051
K01622	mmu00051
K01623	mmu00051
K01624	mmu00051
K01628	mmu00051
K01629	mmu00051
K01711	mmu00051
K01729	mmu00051
K01795	mmu00051
K01803	mmu00051
K01805	mmu00051
K01808	mmu00051
K01809	mmu00051
K01813	mmu00051
K01818	mmu00051
K01820	mmu00051
K01840	mmu00051
K02377	mmu00051
K02446	mmu00051
K02768	mmu00051
K02769	mmu00051
K02770	mmu00051
K02771	mmu00051
K02781	mmu00051
K02782	mmu00051
K02783	mmu00051
K02793	mmu00051
K02794	mmu00051
K02795	mmu00051
K02796	mmu00051
K02798	mmu00051
K02800	mmu00051
K02812	mmu00051
K02813	mmu00051
K02814	mmu00051
K02815	mmu00051
K03332	mmu00051
K03841	mmu00051
K04041	mmu00051
K05305	mmu00051
K05947	mmu00051
K07026	mmu00051
K07046	mmu00051
K08261	mmu00051
K11194	mmu00051
K11195	mmu00051
K11196	mmu00051
