KO	Pathway
K14275	hsa00040
K14756	hsa00040
K16190	hsa00040
K16849	hsa00040
K16850	hsa00040
K17738	hsa00040
K17743	hsa00040
K17818	hsa00040
K18102	hsa00040
K18103	hsa00040
K18106	hsa00040
K18107	hsa00040
K19551	hsa00040
K19588	hsa00040
K19634	hsa00040
K21030	hsa00040
K21031	hsa00040
K21619	hsa00040
K21680	hsa00040
K21681	hsa00040
K22185	hsa00040
K22186	hsa00040
K22187	hsa00040
K22396	hsa00040
K22397	hsa00040
K22539	hsa00040
K22933	hsa00040
K22935	hsa00040
K22994	hsa00040
K24442	hsa00040
K24443	hsa00040
K24707	hsa00040
K25879	hsa00040
K25880	hsa00040
K25881	hsa00040
K26066	hsa00040
K26933	hsa00040
K00007	hsa00051
K00008	hsa00051
K00009	hsa00051
K00011	hsa00051
K00045	hsa00051
K00064	hsa00051
K00066	hsa00051
K00068	hsa00051
K00594	hsa00051
K00844	hsa00051
K00846	hsa00051
K00847	hsa00051
K00848	hsa00051
K00850	hsa00051
K00863	hsa00051
K00879	hsa00051
K00881	hsa00051
K00882	hsa00051
K00895	hsa00051
K00900	hsa00051
K00966	hsa00051
K00971	hsa00051
K00976	hsa00051
K01086	hsa00051
K01103	hsa00051
K01218	hsa00051
K01622	hsa00051
K01623	hsa00051
K01624	hsa00051
K01628	hsa00051
K01629	hsa00051
K01711	hsa00051
K01729	hsa00051
K01795	hsa00051
K01803	hsa00051
K01805	hsa00051
K01808	hsa00051
K01809	hsa00051
K01813	hsa00051
K01818	hsa00051
K01820	hsa00051
K01840	hsa00051
K02377	hsa00051
K02446	hsa00051
K02768	hsa00051
K02769	hsa00051
K02770	hsa00051
K02771	hsa00051
K02781	hsa00051
K02782	hsa00051
K02783	hsa00051
K02793	hsa00051
K02794	hsa00051
K02795	hsa00051
K02796	hsa00051
K02798	hsa00051
K02800	hsa00051
K02812	hsa00051
K02813	hsa00051
K02814	hsa00051
K02815	hsa00051
K03332	hsa00051
K03841	hsa00051
K04041	hsa00051
K05305	hsa00051
K05947	hsa00051
K07026	hsa00051
K07046	hsa00051
K08261	hsa00051
K11194	hsa00051
K11195	hsa00051
K11196	hsa00051
K11532	hsa00051
K11645	hsa00051
K12660	hsa00051
K12661	hsa00051
K14634	hsa00051
K15778	hsa00051
K15856	hsa00051
K15916	hsa00051
K16011	hsa00051
K16305	hsa00051
K16306	hsa00051
K16370	hsa00051
K16881	hsa00051
K17195	hsa00051
K17497	hsa00051
K17742	hsa00051
K18333	hsa00051
K18334	hsa00051
K18335	hsa00051
K18336	hsa00051
K18337	hsa00051
K18338	hsa00051
K18339	hsa00051
K18447	hsa00051
K18818	hsa00051
K19028	hsa00051
K19029	hsa00051
K19030	hsa00051
K19270	hsa00051
K19290	hsa00051
K19291	hsa00051
K19355	hsa00051
K19633	hsa00051
K19956	hsa00051
K21071	hsa00051
K21883	hsa00051
K22252	hsa00051
K24182	hsa00051
K24204	hsa00051
K25814	hsa00051
K26911	hsa00051
K27475	hsa00051
K27924	hsa00051
K28465	hsa00051
K28472	hsa00051
K00011	hsa00052
K00035	hsa00052
K00094	hsa00052
K00704	hsa00052
K00844	hsa00052
K00845	hsa00052
K00849	hsa00052
K00850	hsa00052
K00883	hsa00052
K00917	hsa00052
K00963	hsa00052
K00965	hsa00052
